ID type condition trial sound_dist concept_dist item sameDiff answer correct native gender age
subject_5 Test 3 2 similar different flower NA 0 1 other M 5
subject_5 Test 3 2 similar different flower NA 1 0 other M 5
subject_5 Test 3 2 similar different flower NA 1 1 other M 5
subject_5 Test 3 2 similar different flower NA 0 0 other M 5
subject_5 Test 5 1 maximal different fish NA 0 1 other M 5
subject_5 Test 5 1 maximal different fish NA 0 1 other M 5
subject_5 Test 5 1 maximal different fish NA 0 1 other M 5
subject_5 Test 5 1 maximal different fish NA 0 1 other M 5
subject_5 Test 5 2 maximal different fish NA 0 1 other M 5
subject_5 Test 5 2 maximal different fish NA 1 0 other M 5
subject_5 Test 5 2 maximal different fish NA 1 0 other M 5
subject_5 Test 5 2 maximal different fish NA 0 1 other M 5
subject_6 Test_pre joint NA NA NA  NA 1 NA other F 4
subject_6 Test_pre joint NA NA NA  NA 0 NA other F 4
subject_6 Test 4 1 different different flower NA 0 1 other F 4
subject_6 Test 4 1 different different flower NA 1 0 other F 4
subject_6 Test 4 1 different different flower NA 1 0 other F 4
subject_6 Test 4 1 different different flower NA 0 1 other F 4
subject_6 Test 4 2 different different flower NA 0 0 other F 4
subject_6 Test 4 2 different different flower NA 0 0 other F 4
subject_6 Test 4 2 different different flower NA 0 1 other F 4
subject_6 Test 4 2 different different flower NA 0 1 other F 4
subject_6 Test 2 1 maximal similar flower NA 1 0 other F 4
subject_6 Test 2 1 maximal similar flower NA 1 0 other F 4
subject_6 Test 2 1 maximal similar flower NA 0 1 other F 4
subject_6 Test 2 1 maximal similar flower NA 0 1 other F 4
subject_6 Test 2 2 maximal similar flower NA 0 1 other F 4
subject_6 Test 2 2 maximal similar flower NA 1 0 other F 4
subject_6 Test 2 2 maximal similar flower NA 1 0 other F 4
subject_6 Test 2 2 maximal similar flower NA 1 1 other F 4
subject_6 Test 0 1 similar similar bug NA 1 0 other F 4
subject_6 Test 0 1 similar similar bug NA 0 1 other F 4
subject_6 Test 0 1 similar similar bug NA 0 0 other F 4
subject_6 Test 0 1 similar similar bug NA 1 1 other F 4
subject_6 Test 0 2 similar similar bug NA 0 1 other F 4
subject_6 Test 0 2 similar similar bug NA 0 1 other F 4
subject_6 Test 0 2 similar similar bug NA 1 1 other F 4
subject_6 Test 0 2 similar similar bug NA 0 1 other F 4
subject_6 Test 5 1 maximal different bug NA 0 0 other F 4
subject_6 Test 5 1 maximal different bug NA 0 0 other F 4
subject_6 Test 5 1 maximal different bug NA 0 1 other F 4
subject_6 Test 5 1 maximal different bug NA 0 1 other F 4
subject_6 Test 5 2 maximal different bug NA 1 1 other F 4
subject_6 Test 5 2 maximal different bug NA 0 0 other F 4
subject_6 Test 5 2 maximal different bug NA 1 1 other F 4
subject_6 Test 5 2 maximal different bug NA 0 0 other F 4
subject_6 Test 1 1 different similar fish NA 0 0 other F 4
subject_6 Test 1 1 different similar fish NA 0 1 other F 4
subject_6 Test 1 1 different similar fish NA 1 0 other F 4
subject_6 Test 1 1 different similar fish NA 0 1 other F 4
subject_6 Test 1 2 different similar fish NA 0 1 other F 4
subject_6 Test 1 2 different similar fish NA 1 1 other F 4
subject_6 Test 1 2 different similar fish NA 0 0 other F 4
subject_6 Test 1 2 different similar fish NA 0 0 other F 4
subject_6 Test 3 1 similar different bird NA 0 0 other F 4
subject_6 Test 3 1 similar different bird NA 1 0 other F 4
subject_6 Test 3 1 similar different bird NA 0 0 other F 4
subject_6 Test 3 1 similar different bird NA 0 0 other F 4
subject_6 Test 3 2 similar different bird NA 0 0 other F 4
subject_6 Test 3 2 similar different bird NA 0 0 other F 4
subject_6 Test 3 2 similar different bird NA 0 1 other F 4
subject_6 Test 3 2 similar different bird NA 0 1 other F 4
subject_7 Test_pre joint NA NA NA  NA 1 NA other M 4
subject_7 Test_pre joint NA NA NA  NA 1 NA other M 4
subject_7 Test 1 1 different similar bug NA 0 1 other M 4
subject_7 Test 1 1 different similar bug NA 1 0 other M 4
subject_7 Test 1 1 different similar bug NA 1 1 other M 4
subject_7 Test 1 1 different similar bug NA 0 0 other M 4
subject_7 Test 1 2 different similar bug NA 0 1 other M 4
subject_7 Test 1 2 different similar bug NA 0 1 other M 4
subject_7 Test 1 2 different similar bug NA 0 0 other M 4
